num_neuronas_1_hidden_layer,exec_time,RMSE_train,RMSE_test,r^2_train,r^2_test
1,42.9621,91.09320000000001,91.6027,-3.6396,-3.5416000000000003
2,42.491,68.0365,68.4568,-2.1305,-2.0652
3,44.8005,67.8768,68.325,-2.1289000000000002,-2.0638
4,44.07540000000001,20.6203,21.1188,0.9006000000000001,0.8984
5,44.176100000000005,20.6837,21.1655,0.9000000000000001,0.8980999999999998
6,44.7689,20.930799999999998,21.3958,0.8976000000000001,0.8957
7,44.3292,20.1714,20.728600000000004,0.9046999999999998,0.9020999999999999
8,44.3832,19.8333,20.423099999999998,0.9077,0.9047000000000001
9,44.8798,19.5541,20.232499999999998,0.9105000000000001,0.9068999999999999
10,44.2934,18.5187,19.275799999999997,0.9195,0.9152999999999999
