Probabilidad de mutacion,exec_time,RMSE_train,RMSE_test,r^2_train,r^2_test
0.2,96.67733333333332,15.0,14.666666666666666,0.944,0.951
0.1,121.50666666666666,23.0,21.333333333333332,0.839,0.8713333333333333
0.05,106.19133333333332,16.0,15.0,0.9380000000000001,0.947
0.025,102.57133333333333,15.0,14.333333333333334,0.944,0.9503333333333334
0.01,121.62933333333335,16.0,15.333333333333334,0.9369999999999999,0.9443333333333334
